%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35
1765344907114809194,32,1765344906980838000,map,0.21371868221214202,4.458201957188178,0.0,0.0,0.0,0.31974781891845255,0.947502681947071,0.002213587305765846,0.0019858842985289726,0.0,0.0,0.0,0.0,0.0019858842985289726,0.004173840140087037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0271022864555664
1765344907393750010,33,1765344907220442000,map,0.2554286650173982,4.484612203207796,0.0,0.0,0.0,0.3171041318469029,0.9483907262123676,0.001672794311890699,0.0014114376120533123,0.0,0.0,0.0,0.0,0.0014114376120533123,0.0037870830061272898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020541649761689026
1765344907597293621,34,1765344907460409000,map,0.3027635031826046,4.517485682048141,0.0,0.0,0.0,0.3155741175614992,0.9489009307221071,0.0012251246453424819,0.0009616758210049259,0.0,0.0,0.0,0.0,0.0009616758210049259,0.0033987341471117816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015095521801502348
1765344907833062552,35,1765344907699812000,map,0.35009400093425236,4.54876396823606,0.0,0.0,0.0,0.31478774658374875,0.9491620907941517,0.0010007135172641624,0.000524200737675784,0.0,0.0,0.0,0.0,0.000524200737675784,0.0028801428953926234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010546714416120852
1765344908089498255,36,1765344907939545000,map,0.39131354701474286,4.576253811655213,0.0,0.0,0.0,0.31351737733927537,0.9495824630364139,0.0008005202814966583,1.057764995926469e-05,0.0,0.0,0.0,0.0,1.0577649959042645e-05,0.0014001744810165917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005520492372104791
1765344908372424036,37,1765344908179264000,map,0.4305990648108763,4.602733688515268,0.0,0.0,0.0,0.31367331312573815,0.949530964546561,0.0007317575664112508,-7.935239117529136e-05,0.0,0.0,0.0,0.0,-7.935239117529136e-05,0.0009878179226063821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003550600382674339
1765344908547650328,38,1765344908419788000,map,0.4665783295056789,4.6289648321348675,0.0,0.0,0.0,0.3143060265306322,0.9493217166411635,0.0005721462684503686,-0.0001327059207794079,0.0,0.0,0.0,0.0,-0.000132705920779852,0.0007049287376439395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002408537043538187
1765344908798012699,39,1765344908659776000,map,0.5029038912416767,4.655977096919952,0.0,0.0,0.0,0.314706266864092,0.949189109501614,0.000418527520777201,-0.0001184918286409875,0.0,0.0,0.0,0.0,-0.0001184918286409875,0.0004422507841645995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013650779260642677
1765344909036263663,40,1765344908899862000,map,0.5423470332426552,4.6803247958540695,0.0,0.0,0.0,0.31549857657952923,0.9489260498986688,0.0002757999244189513,-0.00011407517518380317,0.0,0.0,0.0,0.0,-0.00011407517518380317,0.0002539933035095032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006957671829055817
1765344916521773492,41,1765344916372344000,map,0.5907007147267304,4.711707667804069,0.0,0.0,0.0,0.31667278079154754,0.948534843801612,0.00027043619520167317,-8.326554846638246e-05,0.0,0.0,0.0,0.0,-8.326554846638246e-05,0.0002174289910001903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005786210957115568
